"Oklahoma",253.1
"Adair County, OK",475.4
"Alfalfa County, OK",242
"Atoka County, OK",437
"Beaver County, OK",267
"Beckham County, OK",345.7
"Blaine County, OK",328.8
"Bryan County, OK",416.1
"Caddo County, OK",260.7
"Canadian County, OK",236.4
"Carter County, OK",257.2
"Cherokee County, OK",261.3
"Choctaw County, OK",478.2
"Cimarron County, OK",323.9
"Cleveland County, OK",231.1
"Coal County, OK",479.6
"Comanche County, OK",238.5
"Cotton County, OK",217.2
"Craig County, OK",295.8
"Creek County, OK",298
"Custer County, OK",263.2
"Delaware County, OK",261
"Dewey County, OK",232.2
"Ellis County, OK",235.5
"Garfield County, OK",242.9
"Garvin County, OK",283.4
"Grady County, OK",227.1
"Grant County, OK",230.4
"Greer County, OK",317
"Harmon County, OK",731.1
"Harper County, OK",253.5
"Haskell County, OK",312.1
"Hughes County, OK",237
"Jackson County, OK",347.7
"Jefferson County, OK",332.5
"Johnston County, OK",377
"Kay County, OK",228.2
"Kingfisher County, OK",315.2
"Kiowa County, OK",349.3
"Latimer County, OK",396.9
"Le Flore County, OK",296.5
"Lincoln County, OK",242.8
"Logan County, OK",215.8
"Love County, OK",314
"Major County, OK",251.3
"Marshall County, OK",327.1
"Mayes County, OK",253.3
"McClain County, OK",288
"McCurtain County, OK",322.9
"McIntosh County, OK",221.6
"Murray County, OK",307.7
"Muskogee County, OK",253
"Noble County, OK",307.5
"Nowata County, OK",288.3
"Okfuskee County, OK",241.6
"Oklahoma County, OK",215.8
"Okmulgee County, OK",245.7
"Osage County, OK",233.8
"Ottawa County, OK",358.6
"Pawnee County, OK",259.7
"Payne County, OK",212.3
"Pittsburg County, OK",264.1
"Pontotoc County, OK",197.4
"Pottawatomie County, OK",222.3
"Pushmataha County, OK",416.9
"Roger Mills County, OK",257.3
"Rogers County, OK",266.8
"Seminole County, OK",226.3
"Sequoyah County, OK",253
"Stephens County, OK",241.6
"Texas County, OK",238.1
"Tillman County, OK",398.7
"Tulsa County, OK",223.4
"Wagoner County, OK",240.6
"Washington County, OK",163.4
"Washita County, OK",316.4
"Woods County, OK",288.6
"Woodward County, OK",316.8
